Object Name,Attribute Name
ChannelProgramLevel,Id
ChannelProgramLevel,IsDeleted
ChannelProgramLevel,Name
ChannelProgramLevel,CurrencyIsoCode
ChannelProgramLevel,CreatedDate
ChannelProgramLevel,CreatedById
ChannelProgramLevel,LastModifiedDate
ChannelProgramLevel,LastModifiedById
ChannelProgramLevel,SystemModstamp
ChannelProgramLevel,LastViewedDate
ChannelProgramLevel,LastReferencedDate
ChannelProgramLevel,ProgramId
ChannelProgramLevel,Description
ChannelProgramLevel,Rank
fferpcore__PermissionErrorLog__Share,Id
fferpcore__PermissionErrorLog__Share,IsDeleted
fferpcore__PermissionErrorLog__Share,LastModifiedDate
fferpcore__PermissionErrorLog__Share,LastModifiedById
fferpcore__PermissionErrorLog__Share,ParentId
fferpcore__PermissionErrorLog__Share,UserOrGroupId
fferpcore__PermissionErrorLog__Share,AccessLevel
fferpcore__PermissionErrorLog__Share,RowCause
Action_Item__c,Id
Action_Item__c,IsDeleted
Action_Item__c,Name
Action_Item__c,CurrencyIsoCode
Action_Item__c,CreatedDate
Action_Item__c,CreatedById
Action_Item__c,LastModifiedDate
Action_Item__c,LastModifiedById
Action_Item__c,SystemModstamp
Action_Item__c,LastViewedDate
Action_Item__c,LastReferencedDate
Usage_Snapshot__c,Id
Usage_Snapshot__c,IsDeleted
Usage_Snapshot__c,Name
Usage_Snapshot__c,CurrencyIsoCode
Usage_Snapshot__c,CreatedDate
Usage_Snapshot__c,CreatedById
Usage_Snapshot__c,LastModifiedDate
Usage_Snapshot__c,LastModifiedById
Usage_Snapshot__c,SystemModstamp
dsfs__DocuSign_Envelope_Recipient__c,Id
dsfs__DocuSign_Envelope_Recipient__c,IsDeleted
dsfs__DocuSign_Envelope_Recipient__c,Name
dsfs__DocuSign_Envelope_Recipient__c,CurrencyIsoCode
dsfs__DocuSign_Envelope_Recipient__c,CreatedDate
dsfs__DocuSign_Envelope_Recipient__c,CreatedById
dsfs__DocuSign_Envelope_Recipient__c,LastModifiedDate
dsfs__DocuSign_Envelope_Recipient__c,LastModifiedById
dsfs__DocuSign_Envelope_Recipient__c,SystemModstamp
dsfs__DocuSign_Envelope_Recipient__c,LastViewedDate
dsfs__DocuSign_Envelope_Recipient__c,LastReferencedDate
EmailServicesAddress,Id
EmailServicesAddress,CreatedDate
EmailServicesAddress,CreatedById
EmailServicesAddress,LastModifiedDate
EmailServicesAddress,LastModifiedById
EmailServicesAddress,SystemModstamp
pse__Timecard_Entry_UI_Switch__c,Id
pse__Timecard_Entry_UI_Switch__c,IsDeleted
pse__Timecard_Entry_UI_Switch__c,Name
pse__Timecard_Entry_UI_Switch__c,CurrencyIsoCode
pse__Timecard_Entry_UI_Switch__c,CreatedDate
pse__Timecard_Entry_UI_Switch__c,CreatedById
pse__Timecard_Entry_UI_Switch__c,LastModifiedDate
pse__Timecard_Entry_UI_Switch__c,LastModifiedById
pse__Timecard_Entry_UI_Switch__c,SystemModstamp
nwcs_ldl__Channel__c,Id
nwcs_ldl__Channel__c,IsDeleted
nwcs_ldl__Channel__c,Name
nwcs_ldl__Channel__c,CurrencyIsoCode
nwcs_ldl__Channel__c,CreatedDate
nwcs_ldl__Channel__c,CreatedById
